Id,ShortDescription,Description,User
2,PA,PAXOS - ANTIPAXOS,Maria
3,BL,BLUE LAGOON,Maria
5,,AQUALAND,Admin
9,,SAFARI CRUISE,Admin
12,,B.B.Q,Admin
15,,GRAND ISLAND,Admin
17,,CORFU BY NIGHT,Admin
18,,GREEK NIGHT,Admin
22,,CORFU BY DAY,Σουρβίνος
23,,ALBANIA,Admin
24,CS,CORFU SUNSET CRUISE,Maria
25,,OLYMPIC FLAME,Admin
26,,OLYMPIC FLAME,Admin
27,,CORFU BY NIGHT,Σουρβίνος
28,,CORFU DELIGHT,Admin
29,,PARGA-PAXOS,Admin
30,,MOONLIGHT,Admin
31,,TRANSFER BLUE LAGOON,Admin
32,,ALBANIA,Admin
34,,TRANSFER,Σουρβίνος
36,,SCHOOL TRANSFER,Admin
37,,KALYPSO STAR,Σουρβίνος
38,,AIRPORT TRANSFER,Admin
39,,AQUALAND TRANSFER,Admin
40,,BOOZE CRUISE,Admin
41,,SCUBA DIVING,Admin
42,,OLIKH NAYLOSH,Admin
43,,SUNSET BLUE LAGOON,Eva
