Id,RouteId,Description,ExactPoint,Time,User
844,28,RESTIA SUITES,MAI ROAD,06:55,MARILENA
845,19,ARION HOTEL,MAIN ROAD,08:10,MARILENA
848,22,PALEO DISCO,MAIN ROAD,07:00,MARILENA
849,22,MOODY BLUE BAR PALEOK.,MAIN ROAD,07:00,MARILENA
850,19,SOPHIAS CORNER,MAIN ROAD,07:29,MARILENA
851,29,FOUNTAIN BAR,CROSSROAD,09:45,Eva
852,19,DASSIA PHARMACY,MAIN ROAD,07:31,MARILENA
853,29,SILVERSTONE GO CARTS,MAIN ROAD,09:44,Eva
854,28,ANGELINA,MAIN ROAD - KALUA BAR,07:30,MARILENA
855,22,VILLA MIRTO,MAIN ROAD,07:15,MARILENA
856,29,SAN MARINA,MAIN ROAD,09:45,Eva
858,29,CAPTAINS AG.PETROS,MAIN ROAD,09:44,Eva
859,29,SCRIVAS,MAIN ROAD,09:44,Eva
860,28,NSK OFFICE SIDARI (MELISSA),MAIN ROAD,07:30,MARILENA
861,28,PANORAMA,SIDARI SCONTO MARKET,07:30,MARILENA
862,28,SPIROS S/M SIDARI,MAIN ROAD,07:37,MARILENA
863,28,TZORAS S/M ACHARAVI,MAIN ROAD,06:57,MARILENA
864,29,EKATI HOTEL,OFFICE,09:45,Eva
865,29,ISLAND HOLIDAYS,OFFICE,09:45,Eva
866,29,LEMON GROVE,MAIN ROAD,09:45,Eva
867,22,LAKONES JUNCTION,JUNCTION,07:00,MARILENA
868,22,ROSA BELLA,ERMONES BRIDGE,07:05,MARILENA
870,22,ERMONES BUS STOP,BUS STOP,07:05,MARILENA
871,22,GLYFADA BUS STOP,BUS STOP,07:15,MARILENA
872,29,PANDIS TRAVEL,OFFICE,09:45,Eva
873,32,AKTI ARILLAS HOTEL,AKTI ARILLAS,07:00,Eva
875,28,SUNRISE TAVERNA,MAIN ROAD,07:20,MARILENA
876,19,UNCLE HARRY S/M,MAIN ROAD,07:15,MARILENA
877,20,CATHOLIC CHURCH MESSONGHI,MAIN ROAD,09:11,MARILENA
878,19,VIVA BAR,M.ROAD,07:31,MARILENA
880,28,SUMMERTIME HOTEL,SAXOPHONE BAR,07:34,MARILENA
882,19,CORFU MARE,MAIN ROAD,07:54,MARILENA
883,19,NISSAKI KATERINA'S S/M,MAIN ROAD,07:05,MARILENA
884,32,ROSE GARDEN APTS,PARADISE S/M ST. STEF.,07:10,Eva
885,22,GR.MEDITTERANNEO,HOTEL,07:05,MARILENA
886,28,POTAMOS,CROSSROAD,07:30,MARILENA
887,20,STARS STDS,M.ROAD,09:40,MARILENA
889,32,NAFSIKA SAN STEFANO,M.ROAD,07:10,Eva
890,19,BRETAGNE HOTEL,M.ROAD,08:20,MARILENA
891,19,BUTCHERS CORNER PIRGI,MAIN ROAD,07:20,MARILENA
892,28,FIRE STATION,M.ROAD,07:05,MARILENA
893,19,MARGARITA DASSIA-IPSOS,M.ROAD,07:25,MARILENA
894,29,NIKOS APTS AG.PETROS,M.ROAD,09:44,Eva
895,29,OYLA APTS,CROSSROAD,09:45,Eva
896,32,LITTLE PRINCE,ASPA S/M,07:10,Eva
897,32,ATHINA,ASPA S/M,07:10,Eva
898,19,KOMENO BAY,EVA P. CROSSROAD,07:38,MARILENA
899,28,BOSTONIA VILLAGE,TZORAS S/M,07:00,MARILENA
900,32,MARINA ARILLAS,M.ROAD,07:00,Eva
901,22,PHILOXENIA,BRIDGE,07:05,MARILENA
902,22,OCEANIS,M.ROAD,07:00,MARILENA
903,20,AKTI PERAMA,M.ROAD,08:30,MARILENA
905,19,KIRKI TAVERNA,M.ROAD,07:31,MARILENA
906,19,PRIMAVERA HOTEL,M.ROAD-OPPOSITE,07:35,MARILENA
907,28,LAGOON,M.ROAD,07:30,MARILENA
908,19,CORFU RESIDENSE,M.ROAD,07:06,MARILENA
909,28,GIANNIS RENT A BIKE KASSIOPI,M.ROAD,06:40,MARILENA
910,22,PALEO CAMPING,MAIN ROAD,07:00,MARILENA
911,29,MORFEAS HOTEL,M.ROAD,09:45,Eva
912,28,SIDARI MIMOZA,M.ROAD,07:30,MARILENA
913,28,RODA BP,M.ROAD,07:06,MARILENA
914,28,ALMYROS NATURA,HOTEL,06:55,MARILENA
915,22,PALEO INN,HOTEL,07:00,MARILENA
916,32,ROMANZA HOTEL ST.STEFANO,HOTEL,07:10,Eva
917,20,PERIVOLI GAS STATION,M.ROAD,09:40,MARILENA
918,22,ODYSSEUS,M.ROAD,07:00,MARILENA
919,28,NIKOS SUPERMARKET,M.ROAD,06:40,MARILENA
920,28,ALKION,M.ROAD,07:30,MARILENA
921,28,ANDROMEDA HOTEL,HOTEL,07:30,MARILENA
922,20,GOLDEN SUNSET BUKARI,M.ROAD,09:00,MARILENA
923,28,RODA TAXI RANK,M.ROAD,07:09,MARILENA
924,22,SPIROS TAVERNA,M.ROAD,07:00,MARILENA
925,28,MICHELANGELO KASSIOPI,NIKOS SUPERMARKET,06:40,MARILENA
926,32,THEO HOTEL PAGOI,HOTEL,06:50,Eva
927,22,FAROS,M.ROAD,07:00,MARILENA
928,28,OLGA,M.ROAD,07:30,MARILENA
929,32,KALOUDIS,MARINA ARILLAS HOTEL,07:00,Eva
930,32,MARVEL HOTEL,M.ROAD,07:00,Eva
931,28,SUNNY CORFU SIDARI,M. ROAD,07:30,MARILENA
932,28,SIDARI SCONTO MARKET,M. ROAD,07:30,MARILENA
933,29,KAVOS PLAZA,M.ROAD,09:45,Eva
934,28,IMEROLIA KASIOPI,M. ROAD,06:40,MARILENA
935,28,PARADISE BAR,M. ROAD,07:29,MARILENA
936,32,COSTAS GOLDEN BEACH-PAGOI,MAIN GATE,06:50,Eva
939,19,BARBATI BEACH,MAIN ROAD,07:15,MARILENA
940,29,YIANETTA,M. ROAD,09:44,Eva
941,22,PALEO ART NOUVEAU,M. ROAD,07:00,MARILENA
942,19,ARITI,M. ROAD,08:10,MARILENA
943,29,SOCRATIS,M.ROAD,09:44,Eva
944,20,MAYFLOWER,EKO-MORAITIKA,09:10,MARILENA
945,19,BARBATI CHURCH,MAIN ROAD,07:15,MARILENA
946,19,CORFU PALACE,M. ROAD,08:10,MARILENA
947,19,BRETANIA HOTEL,M. ROAD,08:20,MARILENA
948,19,IPSOS ΔΗΜΑΡΧΕΙΟ,MAIN ROAD,07:20,MARILENA
949,29,KYANEA,MAIN ROAD,09:44,Eva
950,29,SEA SIDE,MAIN ROAD,09:44,Eva
951,19,EKO DASSIA,EKO DASSIA,07:20,MARILENA
952,29,SUNRISE,M.ROAD,09:44,Eva
953,19,TILEMACHOS HOTEL,MAIN ROAD,07:35,MARILENA
954,19,TARTAYIA BAR,M.ROAD-APENANTI,07:30,MARILENA
955,20,TATIANA HOUSE,NEXT DIMOS MELITEION,09:15,MARILENA
956,20,TSAKI,TSAKI-SPIROS BIKES,08:55,MARILENA
957,29,CAPO DI CORFU,M.GATE,09:44,Eva
958,28,MARE BLUE = BLUE BAY,HOTEL,06:50,MARILENA
959,19,RIVIERA BARBATI,MAIN ROAD,07:15,MARILENA
960,20,ALEXANDROS,M.ROAD,08:46,MARILENA
961,19,SAINT NICHOLAS,JET OIL,07:41,MARILENA
963,31,KAVOS JETTY,-,10:00,Maria
964,31,LEFKIMMI PORT,-,09:45,Maria
965,29,IONIAN SEA VIEW,M.ROAD,09:45,Eva
966,29,CHANDRIS S/M,M. ROAD,09:45,Eva
967,29,CORFU SEA GARDENS,M. ROAD,09:45,Eva
968,29,ASPIOTIS,OFFICE,09:45,Eva
969,29,ASPROKAVOS S/M,M. ROAD,09:45,Eva
970,20,ANNITA HTL,M.ROAD,08:35,MARILENA
972,20,PERAMA KIOSK,OASIS,08:40,MARILENA
973,20,LINIA BP,M.ROAD,09:30,MARILENA
974,20,KAIZER BRIDGE,M.ROAD,08:49,MARILENA
975,22,SINARADES,BUS STOP-CROSSROAD,07:45,MARILENA
976,22,PALEOKASTRITSA HOTEL,MAIN ROAD,07:00,MARILENA
977,22,AMPELAKI,RESTURANT LA CALM,07:00,MARILENA
978,19,MAGGIOROS S/M,M.ROAD,07:28,MARILENA
981,20,PONTIKONISI HTL,M.ROAD,08:45,MARILENA
983,20,OSCAR RENT A CAR,M.ROAD,09:10,MARILENA
984,22,MICHALIS TAVERNA,M.ROAD,07:10,MARILENA
985,20,G+S OFFICE,M.ROAD,09:10,MARILENA
986,19,AKTI BARBATI APPTS,M.ROAD,07:15,MARILENA
987,19,MIRABELO,KIOSK - M.ROAD,07:30,MARILENA
988,19,DASSIA BEACH,JOY S/M,07:29,MARILENA
989,19,HELLENIC OFFICE,KANALIA (NEXT TO TUI OFFICE),08:00,MARILENA
990,28,SPIROS SUPERMARKET,M.ROAD,07:04,MARILENA
991,20,BELLOS BEACH HOTEL,M.ROAD,08:59,MARILENA
992,28,SALVANOS S/M,M.ROAD,07:00,MARILENA
993,20,BRITISH S/M,M.ROAD,08:35,MARILENA
994,20,COCA COLA,M.ROAD,08:35,MARILENA
995,20,CHURCH - ST.GEORGE'S,M. ROAD,09:40,MARILENA
997,20,PASSAS STD,BENITSES PORT,08:50,MARILENA
998,20,ELEANA APTS,M.ROAD,09:40,MARILENA
999,19,EVA PALACE,EVA PALACE CROSSROAD,07:38,MARILENA
1000,28,SIDARI VILLAGE,LAGOON,07:30,MARILENA
1001,19,NEW HOSPITAL,TRAFFIC LIGHTS,07:40,MARILENA
1002,19,SAN MARCO,MINI MARKET,07:19,MARILENA
1003,19,AB VASILOPOYLOS KONTOKALI,M.ROAD,07:45,MARILENA
1004,19,SPIRIDOULA APPTS,KAZIANIS S/M,07:39,MARILENA
1005,28,PIXEL (SPORT CENTER),M.ROAD,07:01,MARILENA
1006,20,GRANDE MARE = COSTA BLUE,M.ROAD,08:52,MARILENA
1007,22,LIAPADES BEACH,HOTEL - TAVERNA,07:10,MARILENA
1008,20,TZEVENOS,M.ROAD,09:40,MARILENA
1009,20,ANANIAS,BLUE SEA-MAIN ROAD,09:40,MARILENA
1010,19,VIROS CROSSROAD,M.ROAD,08:05,MARILENA
1011,28,NSK OFFICE RODA,OFFICE,07:05,MARILENA
1012,20,TRIA GEFYRIA,M.ROAD,08:30,MARILENA
1013,20,ST.GEORGE HTL,BARBAYIANNIS,09:40,MARILENA
1014,20,KAPODISTRIAS HTL,BP BEFORE MIRAMARE,09:10,MARILENA
1015,20,PANORAMA REST.AG.GEORGIOS,M.ROAD,09:40,MARILENA
1016,20,ARGYRADES,KIOSK,09:40,MARILENA
1017,20,ONEIRO VILLAS,M.ROAD 200m AFTER REGENCY,09:00,MARILENA
1018,20,BP MESSONGHI,CROSSROAD FOR AG.MATHEOS,09:20,MARILENA
1020,19,PARAMITHOUPOLI,M.ROAD,07:45,MARILENA
1021,20,MARATHIAS,M.ROAD BUS STOP,09:35,MARILENA
1022,28,THREE LITTLE PIGS,MAIN ROAD,07:31,MARILENA
1023,19,VILLA ANNA CASTELLO,EKO DASSIA,07:20,MARILENA
1024,19,SERVOS APPTS,M.ROAD,07:15,MARILENA
1025,20,GOLDEN SAND,M.ROAD,09:40,MARILENA
1026,22,LACONES JUNCTION,CROSSROAD,07:00,MARILENA
1027,20,BLUE SEA HTL,M.ROAD,09:40,MARILENA
1028,28,ALMYROS VILLAS RESORT,MAIN GATE,07:00,MARILENA
1029,22,PINK PALACE,PINK PALACE,07:45,MARILENA
1031,19,MARILENA HOTEL,M.ROAD,07:16,MARILENA
1032,22,BELVEDERE APPTS AG.GORDIS,M.ROAD,07:45,MARILENA
1033,20,KERKYRA ISLAND,3K S/M MESSONGHI,09:15,MARILENA
1034,20,ALBATROS,TAXI STATION,09:15,MARILENA
1035,22,AQUALAND VILLAGE,M.ROAD,07:25,MARILENA
1037,28,RODA CROSSROAD,CROSSROAD,07:07,MARILENA
1038,20,AEGLI HOTEL,PONTIKONISI,08:40,MARILENA
1039,20,VIOLETTA BUKARI,MAIN ROAD,09:00,MARILENA
1040,28,ACHARAVI PUMP,M.ROAD,07:01,MARILENA
1041,20,KARINA HOTEL,M.ROAD,08:57,MARILENA
1042,20,LORD TRAVEL,M.ROAD,09:40,MARILENA
1043,20,EL GRECO,M.ROAD,08:50,MARILENA
1044,20,ALAMANOS,M. ROAD,09:00,MARILENA
1045,19,KOTSOVOLOS,M.ROAD,07:55,MARILENA
1046,19,HELLENIS,M.ROAD,08:10,MARILENA
1047,19,LA RIVIERA,M.ROAD,07:14,MARILENA
1048,22,PARADISE FUN CLUB,M. ROAD - KIOSK,07:30,MARILENA
1049,19,KONTOKALI - AB BASILOPOULOS,TRAFFIC LIGHTS,07:43,MARILENA
1050,20,ALKIONIS,M.ROAD,09:10,MARILENA
1053,28,SIDARI ELIN,M.ROAD,07:38,MARILENA
1054,19,AKROGIALI,RESTAURANT,07:15,MARILENA
